objid,myRA,SDSS_RA,myDEC,SDSS_DEC,distance,modelMag_g,modelMag_r,modelMag_i,cModelMag_g,cModelMag_r,cModelMag_i,petroMag_g,petroMag_r,petroMag_i,petroRad_g,petroRad_r,petroRad_i
1237654881820410000,237.0173,237.017277,4.242431,4.242350313,0.005102154,20.68995,20.20012,20.07339,20.68355,20.20012,20.02661,20.83291,20.33333,20.18437,1.765885,1.756225,1.807087
1237655124466590000,171.2726,171.2726111,4.121,4.121002814,0.001073676,17.18802,16.88729,16.76911,17.12161,16.88732,16.77372,17.22119,16.96656,16.83083,10.18519,9.603366,10.03911
1237655124466720000,171.5346,171.5345821,4.06236,4.062366215,0.000512069,16.60316,16.37193,16.21906,16.54404,16.35495,16.17352,16.65672,16.44031,16.27534,13.11607,13.36549,13.36226
1237655125020040000,209.3085,209.3084908,4.30731,4.307314359,0.000727616,18.9026,16.13482,15.88756,19.37531,16.13482,15.90026,22.79535,16.20978,16.06054,3.599664,15.63515,15.16073
1237655125020830000,211.066,211.0660146,4.11219,4.112177401,0.000801112,14.2469,13.52245,13.1682,14.54652,13.72932,13.40829,14.60244,13.82064,13.49346,28.58083,32.15797,31.51372
1237655125541450000,173.8266,173.8266259,4.95481,4.954841403,0.001888728,17.8698,17.59476,17.52612,17.66467,17.5505,17.65076,17.78699,17.62068,17.7268,9.549239,7.461373,6.380521
1237655126088870000,198.0273,198.0273056,5.4757,5.475694575,0.000556291,21.0313,20.48121,19.79541,20.86684,20.48123,19.8078,21.04107,20.59119,19.87288,1.890793,1.780931,1.944859
1237655126093390000,208.3606,208.3606206,5.20776,5.20775877,0.000343766,13.50754,12.89937,12.60754,13.64026,12.95513,12.608,13.59822,12.97473,12.67134,34.28248,35.60723,34.85305
1237655126093590000,208.7613,208.7612676,5.09034,5.090332648,0.000682769,16.51922,15.8856,15.56838,16.4419,15.85027,15.51896,16.50142,15.89166,15.58242,16.01805,15.45177,15.02799
1237655126093590000,208.7688,208.7687844,5.18953,5.189507256,0.001359291,16.6475,16.42119,16.31101,16.62473,16.40838,16.29475,16.70201,16.44315,16.3396,14.81134,15.16729,15.67882
1237655126093790000,209.2316,209.2315765,5.15188,5.151883998,0.000447062,15.53337,14.90149,14.59408,15.49498,14.87284,14.58519,15.54101,14.89617,14.62307,19.71286,19.40849,18.7434
1237655126613160000,169.1006,169.1005349,5.73132,5.731316346,0.001246209,17.68169,17.31347,17.20363,17.85189,17.38056,17.23147,17.91586,17.48945,17.34263,3.698425,3.568541,3.894851
1237655126617030000,177.979,177.9790231,5.84013,5.84013829,0.000558723,16.34265,15.88535,15.65813,16.33527,15.88536,15.67772,16.45703,15.95956,15.78502,12.8851,13.74985,13.16457
1237655126624760000,195.6741,195.6740915,5.95837,5.958368236,0.000265996,16.69282,16.30179,16.11867,16.71889,16.30175,16.11824,16.85061,16.42938,16.2471,12.93436,13.60347,13.68701
1237655126630130000,208.0452,208.0451807,5.50383,5.503997625,0.01023035,22.88872,22.82902,21.92897,22.87921,22.82903,21.75602,23.0919,23.0543,21.95702,1.296481,1.196296,1.322761
1237655126630530000,209.039,209.0390669,5.54258,5.542724756,0.00951705,17.24802,17.12359,17.50371,16.79922,17.12359,17.67163,16.93022,17.12494,17.63236,17.81805,10.0201,6.405553
1237655126630790000,209.5583,209.5583067,5.40828,5.40829453,0.001149013,13.98732,13.32344,12.90604,13.98411,13.46829,12.95882,14.21432,13.60676,13.1605,24.45094,17.6938,20.0418
1237655126630920000,209.8448,209.844743,5.53867,5.538668532,0.000843587,15.05028,14.56326,14.28845,14.96657,14.53469,14.27139,15.00898,14.60809,14.3805,29.90228,28.18647,27.46424
1237655742404690000,216.7945,216.794503,5.13717,5.13703851,0.007990298,21.46669,21.22357,21.39022,21.41694,21.22355,21.41286,21.57381,21.40829,21.62022,1.532405,1.442528,1.421946
1237655742939330000,211.633,211.6332266,6.02969,6.029673073,0.015635472,20.42845,19.69735,19.36696,20.46812,19.69735,19.3355,20.61912,19.83232,19.48849,1.373491,1.385075,1.411059
1237655742948310000,232.1877,232.1876792,4.405733,4.405732262,0.000236655,16.90611,16.51612,16.32015,16.8384,16.36197,16.22047,16.8653,16.4177,16.25694,8.77321,9.808553,8.885535
1237655743478620000,217.3125,217.3124572,5.98539,5.985383782,0.000424233,17.46942,17.02721,16.81114,17.41185,17.02721,16.81817,17.45706,17.07268,16.87567,13.0445,12.07805,12.21245
1237655743479020000,218.2201,218.2200914,5.99906,5.999059022,0.000104186,16.74621,16.48042,16.69229,16.66532,16.35254,16.5382,16.72597,16.4148,16.62562,5.601775,5.800276,5.27357
1237655743487670000,237.8792,237.8792063,4.199493,4.199494311,0.000312697,18.35838,18.03216,17.86481,18.33926,17.90043,17.73829,18.37429,17.9694,17.76794,4.067898,4.42713,4.757721
1237655745086680000,211.4446,211.4446205,7.697912,7.697961308,0.003032182,17.28871,16.88081,16.66232,17.20394,16.88082,16.65769,17.28136,16.91641,16.73623,11.67232,11.83853,11.30635
1237658297915010000,139.3122,139.3122247,4.13369,4.133684649,0.00031639,17.00353,16.58397,16.36951,17.30121,16.75019,16.56512,17.35353,16.86561,16.65612,5.813093,6.22937,6.456939
1237658297919140000,148.6754,148.6753784,4.97542,4.975412142,0.000595578,17.088,16.71047,16.5342,17.05324,16.65619,16.49077,17.07069,16.7074,16.55747,6.338888,6.377923,6.099624
1237658297919930000,150.5718,150.5715471,4.96089,4.960919769,0.01478497,17.23775,16.79679,16.58371,17.2006,16.79681,16.57689,17.34308,16.84362,16.6646,12.43811,13.18943,12.45198
1237658297920190000,151.2246,151.2246018,5.06264,5.062641909,0.000464919,14.09094,13.33207,12.90891,13.98772,13.33207,12.88845,14.05203,13.37412,12.93196,20.77131,16.26756,17.02131
1237658297920320000,151.4637,151.4637463,5.00622,5.006264611,0.00535219,22.8269,22.73962,21.56732,22.85806,22.48555,21.56754,23.34363,22.63967,21.73725,1.131139,1.214371,1.161872
1237658297920780000,152.4428,152.4428324,5.17294,5.172934552,0.000581473,14.71837,14.21303,13.97424,14.66586,14.20875,13.9949,14.68174,14.22541,14.03432,19.79749,19.45299,18.83856
1237658297920840000,152.655,152.6549857,5.15067,5.150632525,0.002480885,14.83063,14.4669,14.3044,15.0513,14.63287,14.40109,15.03476,14.66043,14.47259,16.7501,18.26132,18.93745
1237658297920840000,152.6439,152.6438952,5.23291,5.232958991,0.003306813,17.77748,17.44789,17.31527,17.82308,17.44789,17.32503,17.8471,17.45686,17.35218,6.711182,7.440829,7.516608
1237658297921370000,153.7849,153.7847049,5.24336,5.243356504,0.009645638,16.05361,15.59676,15.34167,15.97346,15.54801,15.26298,16.00668,15.57695,15.33012,19.15254,18.27804,18.49767
1237658297925300000,162.8097,162.8096976,5.84003,5.840017924,0.000950676,12.82153,12.10912,11.77257,12.89565,12.19444,11.88823,12.69061,11.81039,11.55676,64.0332,72.97076,69.19177
1237658298454310000,144.843,144.8430186,4.95239,4.952395371,0.000316551,16.13001,15.76784,15.58835,16.00056,15.62652,15.48685,16.06124,15.71005,15.55069,9.576384,9.21318,9.259268
1237658298455030000,146.4828,146.482847,5.04955,5.04954365,0.000405642,17.05478,16.92098,16.89418,17.02707,16.85196,16.83432,17.0616,16.90391,16.84996,6.1022,6.406916,6.618495
1237658298456080000,148.8478,148.847832,5.31483,5.314823938,0.000588443,18.24181,17.75376,17.47603,18.20527,17.75378,17.49892,18.30539,17.82335,17.58797,7.827556,7.453608,7.193482
1237658298463150000,165.0797,165.0797061,6.24156,6.241561929,0.000364228,17.08851,16.84855,16.78784,17.27279,16.92861,16.82588,17.33424,17.02213,16.91929,4.296794,4.675418,4.989753
1237658298989280000,140.4435,140.4434348,4.96432,4.964335954,0.001351516,17.80583,17.33141,17.20362,17.87541,17.33141,17.21701,17.89901,17.34734,17.23043,8.212867,9.090744,8.894477
1237658298996550000,157.103,157.1030402,6.23858,6.238585321,0.000336548,16.21358,15.85155,15.66527,16.06472,15.77566,15.5909,16.1493,15.85469,15.7291,19.0155,17.70185,17.40477
1237658298997930000,160.2712,160.27121,6.41489,6.414892174,0.00014277,17.16,16.89924,16.85811,17.11558,16.76334,16.73162,17.14023,16.82843,16.77271,3.759558,4.107758,4.322816
1237658299521950000,130.8625,130.8625551,4.43319,4.4332591,0.005192504,19.76325,19.42794,19.50887,19.82383,19.42795,19.42249,19.97401,19.56104,19.35225,1.618104,1.604796,1.620288
1237658299537160000,165.6406,165.6405622,7.13526,7.135258737,0.001014392,17.91649,17.66926,17.58773,17.90551,17.51372,17.44559,17.94566,17.57805,17.48171,4.160067,5.26063,5.348674
1237658300055420000,123.0593,123.0593455,4.0735,4.073504016,0.000735897,16.72974,16.2917,16.12334,16.67909,16.2917,16.14151,16.66343,16.32793,16.20377,13.94911,13.66566,13.64862
1237658300056530000,125.5082,125.5079307,4.39273,4.392574671,0.01910034,16.03251,15.42442,15.10271,16.02398,15.42442,15.11503,16.05952,15.43774,15.14651,10.65496,10.659,10.587
1237658300057970000,128.9116,128.9116127,4.75703,4.757028415,0.000420206,15.50722,14.69701,14.30903,15.46965,14.70975,14.32121,15.59727,14.81375,14.43564,6.800225,6.680184,6.590337
1237658300065640000,146.3761,146.3761389,6.37682,6.376822244,0.000353109,15.85375,15.32088,15.08324,15.63424,15.11167,14.96799,15.79829,15.29354,15.15471,23.24341,43.76665,21.15513
1237658300068720000,153.4955,153.4954728,7.024,7.023975696,0.001887468,14.44693,13.98281,13.73583,14.37249,13.98281,13.74574,14.33454,13.95469,13.74344,27.87608,26.03664,25.71118
1237658300069240000,154.5822,154.5821241,7.04931,7.049363561,0.005495225,13.85323,13.14198,12.94344,13.88925,13.14198,12.97944,13.81256,13.08615,12.97067,15.13037,16.51693,16.10828
1237658300069240000,154.5637,154.5636992,7.03884,7.038843679,0.000439918,15.26716,14.90261,14.72224,15.23073,14.87547,14.68198,15.263,14.9047,14.72253,12.6611,12.49998,12.46824
1237658300069440000,155.0417,155.0416819,6.95257,6.952564231,0.000460149,15.91987,15.49306,15.28248,15.88604,15.47795,15.27992,15.89584,15.48788,15.29357,8.57894,8.517728,8.418129
1237658300073050000,163.3799,163.3798817,7.46189,7.461895172,0.000303969,17.0608,16.89453,16.85056,17.11412,16.8652,16.78881,17.07738,16.85333,16.8093,6.63618,7.198983,7.659168
1237658300594970000,129.1263,129.1262726,5.167,5.166986867,0.000859494,16.73523,16.49596,16.36843,16.69579,16.40691,16.25333,16.83298,16.50799,16.40521,11.81404,12.74374,12.22161
